Category,COGS,Profit,Rating,Product ID
Health and beauty,114.44,5.722,8.3,418
Health and beauty,699.72,34.986,6.1,983
Health and beauty,286.26,14.313,4.4,668
Health and beauty,524.16,26.208,9.7,552
Health and beauty,116.64,5.832,6.0,904
Health and beauty,448.56,22.428,7.6,933
Health and beauty,686.0,34.3,9.1,142
Health and beauty,302.96,15.148,7.6,64
Health and beauty,461.94,23.097,6.1,89
Health and beauty,18.33,0.9165,4.3,69
Health and beauty,138.65,6.9325,4.2,902
Health and beauty,345.54,17.277,5.1,858
Health and beauty,568.61,28.4305,9.0,749
Health and beauty,579.24,28.962,8.6,93
Health and beauty,372.19,18.6095,8.9,426
Health and beauty,30.74,1.537,7.2,44
Health and beauty,104.85,5.2425,7.8,412
Health and beauty,874.98,43.749,6.0,158
Health and beauty,372.33,18.6165,5.0,852
Health and beauty,54.95,2.7475,9.3,787
Health and beauty,174.4,8.72,8.3,780
Health and beauty,340.56,17.028,5.6,165
Health and beauty,204.52,10.226,4.0,328
Health and beauty,81.51,4.0755,9.2,417
Health and beauty,323.2,16.16,10.0,387
Electronic accessories,281.34,14.067,5.9,845
Electronic accessories,236.07,11.8035,5.9,210
Electronic accessories,285.92,14.296,4.9,756
Electronic accessories,897.57,44.8785,6.5,209
Electronic accessories,39.75,1.9875,6.1,877
Electronic accessories,172.45,8.6225,9.0,969
Electronic accessories,674.59,33.7295,6.0,984
Electronic accessories,505.4,25.27,4.3,305
Electronic accessories,247.4,12.37,7.1,649
Electronic accessories,182.14,9.107,5.1,348
Electronic accessories,74.7,3.735,4.1,97
Electronic accessories,168.5,8.425,5.3,946
Electronic accessories,742.2,37.11,4.3,829
Electronic accessories,194.95,9.7475,6.0,291
Electronic accessories,53.22,2.661,4.2,381
Electronic accessories,126.44,6.322,8.5,496
Electronic accessories,317.34,15.867,9.8,173
Electronic accessories,454.8,22.74,4.8,674
Electronic accessories,448.26,22.413,6.7,450
Electronic accessories,99.69,4.9845,8.0,656
Electronic accessories,796.48,39.824,5.2,120
Electronic accessories,207.63,10.3815,4.9,102
Electronic accessories,283.92,14.196,5.5,217
Electronic accessories,819.7,40.985,9.2,109
Electronic accessories,455.46,22.773,8.7,73
Home and lifestyle,635.6,31.78,4.3,687
Home and lifestyle,975.0,48.75,8.0,699
Home and lifestyle,744.96,37.248,6.8,912
Home and lifestyle,240.04,12.002,4.5,298
Home and lifestyle,217.26,10.863,8.2,559
Home and lifestyle,279.24,13.962,5.9,189
Home and lifestyle,299.1,14.955,4.7,633
Home and lifestyle,37.0,1.85,7.9,281
Home and lifestyle,159.9,7.995,7.5,628
Home and lifestyle,206.91,10.3455,8.7,918
Home and lifestyle,655.83,32.7915,4.5,125
Home and lifestyle,196.95,9.8475,8.7,517
Home and lifestyle,522.63,26.1315,4.3,113
Home and lifestyle,318.42,15.921,9.6,376
Home and lifestyle,955.8,47.79,4.8,166
Home and lifestyle,231.12,11.556,7.2,190
Home and lifestyle,309.88,15.494,4.2,805
Home and lifestyle,378.9,18.945,9.8,934
Home and lifestyle,127.0,6.35,8.6,605
Home and lifestyle,727.11,36.3555,9.5,114
Home and lifestyle,802.89,40.1445,6.5,442
Home and lifestyle,511.28,25.564,4.6,123
Home and lifestyle,672.03,33.6015,9.4,74
Home and lifestyle,88.68,4.434,5.8,56
Home and lifestyle,102.2,5.11,5.7,193
Sports and travel,429.55,21.4775,8.6,574
Sports and travel,126.25,6.3125,6.1,778
Sports and travel,343.7,17.185,6.7,478
Sports and travel,133.95,6.6975,6.2,344
Sports and travel,493.3,24.665,9.4,566
Sports and travel,241.92,12.096,7.3,151
Sports and travel,225.6,11.28,4.8,593
Sports and travel,607.36,30.368,5.5,495
Sports and travel,50.62,2.531,7.2,929
Sports and travel,80.93,4.0465,9.0,613
Sports and travel,32.98,1.649,4.6,110
Sports and travel,186.28,9.314,4.1,235
Sports and travel,42.47,2.1235,5.7,88
Sports and travel,336.35,16.8175,6.9,428
Sports and travel,552.78,27.639,8.3,131
Sports and travel,560.34,28.017,10.0,159
Sports and travel,253.36,12.668,5.6,744
Sports and travel,281.61,14.0805,9.6,306
Sports and travel,189.18,9.459,7.0,584
Sports and travel,448.6,22.43,8.2,91
Sports and travel,160.2,8.01,9.7,471
Sports and travel,372.78,18.639,7.4,107
Sports and travel,787.7,39.385,6.4,68
Sports and travel,74.22,3.711,10.0,60
Sports and travel,82.14,4.107,6.3,767
Food and beverages,159.08,7.954,6.2,908
Food and beverages,655.92,32.796,4.0,848
Food and beverages,157.02,7.851,9.2,586
Food and beverages,483.72,24.186,9.1,710
Food and beverages,425.68,21.284,5.0,815
Food and beverages,131.3,6.565,6.0,774
Food and beverages,418.95,20.9475,6.4,250
Food and beverages,345.66,17.283,7.3,87
Food and beverages,68.98,3.449,4.8,707
Food and beverages,280.62,14.031,6.0,386
Food and beverages,167.54,8.377,7.0,632
Food and beverages,199.58,9.979,8.0,362
Food and beverages,72.72,3.636,7.1,293
Food and beverages,498.9,24.945,5.4,326
Food and beverages,443.28,22.164,4.4,178
Food and beverages,894.8,44.74,9.6,70
Food and beverages,239.73,11.9865,5.0,634
Food and beverages,385.38,19.269,8.9,339
Food and beverages,345.44,17.272,8.3,160
